Cow_ID,earliest_clinical_Day,latest_clinical_Day,first_positive_day,positive_days,negative_days,total_observation_days
cow244,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow245,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow246,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow247,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow248,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow249,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow25,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow250,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow251,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow252,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow253,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow254,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow255,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow256,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow257,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow258,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow259,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow26,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow260,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow261,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow262,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow263,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow264,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow265,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow266,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow267,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow268,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow269,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow27,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow270,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow271,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow272,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow273,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow274,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow275,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow276,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow277,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow278,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow279,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow28,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow280,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow281,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow282,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow283,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow284,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow285,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow286,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow287,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow288,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow289,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow29,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow290,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow291,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow292,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow293,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow294,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow295,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow296,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow297,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow298,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow299,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow3,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow30,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow300,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow301,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow302,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow303,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow304,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow305,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow306,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow307,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow308,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow309,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow31,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow310,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow311,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow312,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow313,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow314,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow315,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow316,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow317,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow318,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow319,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow32,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow320,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow321,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow322,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow323,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow324,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow325,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow326,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow327,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow328,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow329,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow33,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow330,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow331,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow332,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow333,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow334,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow335,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow336,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow337,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow338,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow339,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow34,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow340,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow341,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow342,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow343,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow344,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow345,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow346,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow347,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow348,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow349,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow35,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow350,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow351,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow352,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow353,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow354,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow355,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow356,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow357,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow358,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow359,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow36,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow360,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow361,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow362,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow363,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow364,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow365,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow366,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow367,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow368,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow369,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow37,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow370,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow371,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow372,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow373,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow374,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow375,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow376,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow377,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow378,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow379,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow38,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow380,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow381,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow382,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow383,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow384,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow385,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow386,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow387,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow388,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow389,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow39,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow390,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow391,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow392,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow393,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow394,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow395,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow396,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow397,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow398,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow399,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow4,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow40,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow400,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow401,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow402,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow403,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow404,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow405,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow406,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow407,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow408,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow409,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow41,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow410,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow411,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow412,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow413,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow414,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow415,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow416,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow417,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow418,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow419,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow42,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow420,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow421,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow422,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow423,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow424,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow425,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow426,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow427,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow428,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow429,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow43,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow430,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow431,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow432,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow433,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow434,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow435,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow436,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow437,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow438,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow439,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow44,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow440,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow441,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow442,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow443,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow444,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow445,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow446,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow447,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow448,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow449,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow45,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow450,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow451,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow452,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow453,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow454,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow455,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow456,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow457,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow458,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow459,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow46,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow460,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow461,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow462,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow463,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow464,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow465,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow466,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow467,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow468,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow469,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow47,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow470,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow471,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow472,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow473,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow474,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow475,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow476,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow477,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow478,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow479,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow48,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow480,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow481,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow482,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow483,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow484,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow485,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
