feature,class1,count,mean,median,std,min,max,q25,q75,iqr
Milk_Temperature,0,631,35.54099841521395,35.53,0.4936949623709972,34.04,37.1,35.2,35.87,0.6699999999999946
Milk_Temperature,1,169,38.05059171597633,38.01,0.4893821470827755,36.89,39.38,37.71,38.43,0.7199999999999989
Milk_Conductivity,0,631,4.688526148969889,4.7,0.2985864298007828,3.75,5.62,4.5,4.9,0.40000000000000036
Milk_Conductivity,1,169,6.779526627218936,6.75,0.5166061531200852,5.38,8.09,6.41,7.14,0.7299999999999995
Milk_Yield,0,631,20.148019017432645,20.0,3.1225384016019775,8.9,28.6,18.0,22.3,4.300000000000001
Milk_Yield,1,169,9.353846153846154,9.4,1.853632212967929,4.7,15.0,8.1,10.5,2.4000000000000004
